id,month,country,hbt,treatment_location,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,date,year
1,7,S92000003,S08000015,A101H,Minor Injury Unit or Other,252,NA,z,252,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
2,7,S92000003,S08000015,A111H,Emergency Department,5414,5414,NA,5290,5290,NA,1985,NA,11,NA,3374,NA,44,NA,0,NA,26,NA,24,NA,2007-07-01,2007
3,7,S92000003,S08000015,A207H,Minor Injury Unit or Other,92,NA,z,92,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
4,7,S92000003,S08000015,A210H,Emergency Department,3530,3530,NA,3355,3355,NA,106,NA,0,NA,3369,NA,8,NA,47,NA,3,NA,1,NA,2007-07-01,2007
5,7,S92000003,S08000016,B103H,Minor Injury Unit or Other,20,NA,z,20,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
6,7,S92000003,S08000016,B105H,Minor Injury Unit or Other,105,NA,z,105,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
7,7,S92000003,S08000016,B114H,Minor Injury Unit or Other,31,NA,z,31,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
8,7,S92000003,S08000016,B118H,Minor Injury Unit or Other,87,NA,z,87,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
9,7,S92000003,S08000016,B120H,Emergency Department,1823,1823,NA,1804,1804,NA,571,NA,1,NA,1033,NA,27,NA,191,NA,0,NA,0,NA,2007-07-01,2007
10,7,S92000003,S08000017,Y101H,Minor Injury Unit or Other,86,NA,z,86,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
