quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,q,date
Q2,NA,NA,NA,SB0801,d,NA,z,All Acute,d,16875,NA,13158,NA,185.43956043956044,NA,144.5934065934066,NA,77.97333333333334,NA,Q2,2016-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,All Acute,d,16413,NA,12380,NA,178.40217391304347,NA,134.56521739130434,NA,75.42801437884604,NA,Q3,2016-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,All Acute,d,16117,NA,12049,NA,175.18478260869566,NA,130.9673913043478,NA,74.7595706396972,NA,Q4,2016-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15622,NA,11569,NA,173.57777777777778,NA,128.54444444444445,NA,74.0558187171937,NA,Q1,2017-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15604,NA,11614,NA,171.47252747252747,NA,127.62637362637362,NA,74.42963342732632,NA,Q2,2017-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15426,NA,11658,NA,167.67391304347825,NA,126.71739130434784,NA,75.57370672889927,NA,Q3,2017-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,All Acute,d,16159,NA,12434,NA,175.6413043478261,NA,135.15217391304347,NA,76.94783093013181,NA,Q4,2017-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15681,NA,11871,NA,174.23333333333332,NA,131.9,NA,75.70308016070405,NA,Q1,2018-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15817,NA,12349,NA,173.8131868131868,NA,135.7032967032967,NA,78.0742239362711,NA,Q2,2018-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15806,NA,12390,NA,171.80434782608697,NA,134.67391304347825,NA,78.38795394154118,NA,Q3,2018-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,All Acute,d,14852,NA,11765,NA,161.43478260869566,NA,127.8804347826087,NA,79.21492054942095,NA,Q4,2018-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,All Acute,d,14783,NA,11654,NA,164.25555555555556,NA,129.48888888888888,NA,78.83379557599946,NA,Q1,2019-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,All Acute,d,14929,NA,11897,NA,164.05494505494505,NA,130.73626373626374,NA,79.69053519994641,NA,Q2,2019-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15392,NA,12067,NA,167.30434782608697,NA,131.16304347826087,NA,78.39786902286902,NA,Q3,2019-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15603,NA,11659,NA,169.59782608695653,NA,126.72826086956522,NA,74.72280971608023,NA,Q4,2019-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,All Acute,d,14896,NA,10915,NA,163.69230769230768,NA,119.94505494505496,NA,73.27470461868958,NA,Q1,2020-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,All Acute,d,14366,NA,8101,NA,157.86813186813183,NA,89.02197802197803,NA,56.39008770708619,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15442,NA,9934,NA,167.84782608695653,NA,107.97826086956522,NA,64.33104520139878,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,All Acute,d,15665,NA,11164,NA,170.27173913043478,NA,121.34782608695652,NA,71.26715608043409,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,All Acute,d,16547,NA,12060,NA,183.85555555555555,NA,134,NA,72.88330210914366,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,NA,z,All Acute,d,16159,NA,12269,NA,177.57142857142858,NA,134.82417582417582,NA,75.92672813911751,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,16875,NA,13158,NA,185.43956043956044,NA,144.5934065934066,NA,77.97333333333334,NA,Q2,2016-04-01
Q3,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,16413,NA,12380,NA,178.40217391304347,NA,134.56521739130434,NA,75.42801437884604,NA,Q3,2016-07-01
Q4,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,16117,NA,12049,NA,175.18478260869566,NA,130.9673913043478,NA,74.7595706396972,NA,Q4,2016-10-01
Q1,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15622,NA,11569,NA,173.57777777777778,NA,128.54444444444445,NA,74.0558187171937,NA,Q1,2017-01-01
Q2,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15604,NA,11614,NA,171.47252747252747,NA,127.62637362637362,NA,74.42963342732632,NA,Q2,2017-04-01
Q3,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15426,NA,11658,NA,167.67391304347825,NA,126.71739130434784,NA,75.57370672889927,NA,Q3,2017-07-01
Q4,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,16159,NA,12434,NA,175.6413043478261,NA,135.15217391304347,NA,76.94783093013181,NA,Q4,2017-10-01
Q1,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15681,NA,11871,NA,174.23333333333332,NA,131.9,NA,75.70308016070405,NA,Q1,2018-01-01
Q2,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15817,NA,12349,NA,173.8131868131868,NA,135.7032967032967,NA,78.0742239362711,NA,Q2,2018-04-01
Q3,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15806,NA,12390,NA,171.80434782608697,NA,134.67391304347825,NA,78.38795394154118,NA,Q3,2018-07-01
Q4,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,14852,NA,11765,NA,161.43478260869566,NA,127.8804347826087,NA,79.21492054942095,NA,Q4,2018-10-01
