date,quarter,hb,admission_type,specialty,specialty_name,episodes,length_of_episode,average_length_of_episode,spells,length_of_spell,average_length_of_spell
2016-04-01,Q2,Golden Jubilee,Elective Inpatients,A2,Cardiology,256,559,2.18359375,302,858,2.84105960264901
2016-07-01,Q3,Golden Jubilee,Elective Inpatients,A2,Cardiology,256,361,1.41015625,301,546,1.81395348837209
2016-10-01,Q4,Golden Jubilee,Elective Inpatients,A2,Cardiology,257,318,1.23735408560311,296,449,1.51689189189189
2017-01-01,Q1,Golden Jubilee,Elective Inpatients,A2,Cardiology,259,607,2.34362934362934,290,722,2.48965517241379
2017-04-01,Q2,Golden Jubilee,Elective Inpatients,A2,Cardiology,255,390,1.52941176470588,305,511,1.67540983606557
2017-07-01,Q3,Golden Jubilee,Elective Inpatients,A2,Cardiology,225,496,2.20444444444444,262,686,2.61832061068702
2017-10-01,Q4,Golden Jubilee,Elective Inpatients,A2,Cardiology,238,328,1.3781512605042,261,418,1.60153256704981
2018-01-01,Q1,Golden Jubilee,Elective Inpatients,A2,Cardiology,241,708,2.93775933609959,280,831,2.96785714285714
2018-04-01,Q2,Golden Jubilee,Elective Inpatients,A2,Cardiology,244,391,1.60245901639344,288,535,1.85763888888889
2018-07-01,Q3,Golden Jubilee,Elective Inpatients,A2,Cardiology,228,391,1.71491228070175,279,577,2.06810035842294
2018-10-01,Q4,Golden Jubilee,Elective Inpatients,A2,Cardiology,244,471,1.93032786885246,273,569,2.08424908424908
2019-01-01,Q1,Golden Jubilee,Elective Inpatients,A2,Cardiology,284,528,1.85915492957746,347,758,2.18443804034582
2019-04-01,Q2,Golden Jubilee,Elective Inpatients,A2,Cardiology,277,441,1.59205776173285,304,518,1.70394736842105
2019-07-01,Q3,Golden Jubilee,Elective Inpatients,A2,Cardiology,234,313,1.33760683760684,282,743,2.63475177304965
2019-10-01,Q4,Golden Jubilee,Elective Inpatients,A2,Cardiology,212,497,2.34433962264151,257,804,3.1284046692607
2020-01-01,Q1,Golden Jubilee,Elective Inpatients,A2,Cardiology,200,366,1.83,226,519,2.29646017699115
2020-04-01,Q2,Golden Jubilee,Elective Inpatients,A2,Cardiology,128,269,2.1015625,140,398,2.84285714285714
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,A2,Cardiology,200,380,1.9,223,561,2.51569506726457
2020-10-01,Q4,Golden Jubilee,Elective Inpatients,A2,Cardiology,232,643,2.77155172413793,260,811,3.11923076923077
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,A2,Cardiology,241,417,1.73029045643154,251,548,2.18326693227092
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,A2,Cardiology,221,426,1.92760180995475,234,542,2.31623931623932
2016-04-01,Q2,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,42,125,2.97619047619048,42,128,3.04761904761905
2016-07-01,Q3,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,35,98,2.8,35,105,3
2016-10-01,Q4,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,31,86,2.7741935483871,31,111,3.58064516129032
2017-01-01,Q1,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,35,107,3.05714285714286,35,104,2.97142857142857
2017-04-01,Q2,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,38,117,3.07894736842105,38,123,3.23684210526316
2017-07-01,Q3,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,38,127,3.3421052631579,38,130,3.42105263157895
2017-10-01,Q4,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,38,113,2.97368421052632,39,127,3.25641025641026
2018-01-01,Q1,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,45,139,3.08888888888889,45,143,3.17777777777778
2018-04-01,Q2,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,57,164,2.87719298245614,55,168,3.05454545454545
2018-07-01,Q3,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,50,148,2.96,50,148,2.96
2018-10-01,Q4,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,46,142,3.08695652173913,45,143,3.17777777777778
2019-01-01,Q1,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,42,127,3.02380952380952,43,136,3.16279069767442
2019-04-01,Q2,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,42,126,3,40,116,2.9
2019-07-01,Q3,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,45,125,2.77777777777778,40,124,3.1
2019-10-01,Q4,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,45,143,3.17777777777778,45,139,3.08888888888889
2020-01-01,Q1,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,45,134,2.97777777777778,40,125,3.125
2020-04-01,Q2,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,14,29,2.07142857142857,14,29,2.07142857142857
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,45,115,2.55555555555556,45,110,2.44444444444444
2020-10-01,Q4,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,28,88,3.14285714285714,30,92,3.06666666666667
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,30,94,3.13333333333333,30,95,3.16666666666667
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,AQ,Respiratory Medicine,38,110,2.89473684210526,40,110,2.75
2016-04-01,Q2,Golden Jubilee,Elective Inpatients,C1,General Surgery,70,75,1.07142857142857,70,76,1.08571428571429
2016-07-01,Q3,Golden Jubilee,Elective Inpatients,C1,General Surgery,65,77,1.18461538461538,65,77,1.18461538461538
2016-10-01,Q4,Golden Jubilee,Elective Inpatients,C1,General Surgery,62,68,1.09677419354839,65,72,1.10769230769231
2017-01-01,Q1,Golden Jubilee,Elective Inpatients,C1,General Surgery,55,66,1.2,60,70,1.16666666666667
2017-04-01,Q2,Golden Jubilee,Elective Inpatients,C1,General Surgery,45,54,1.2,48,56,1.16666666666667
2017-07-01,Q3,Golden Jubilee,Elective Inpatients,C1,General Surgery,46,57,1.23913043478261,46,57,1.23913043478261
2017-10-01,Q4,Golden Jubilee,Elective Inpatients,C1,General Surgery,45,47,1.04444444444444,45,47,1.04444444444444
2018-01-01,Q1,Golden Jubilee,Elective Inpatients,C1,General Surgery,60,68,1.13333333333333,60,68,1.13333333333333
2018-04-01,Q2,Golden Jubilee,Elective Inpatients,C1,General Surgery,45,49,1.08888888888889,45,49,1.08888888888889
2018-07-01,Q3,Golden Jubilee,Elective Inpatients,C1,General Surgery,55,60,1.09090909090909,57,61,1.07017543859649
2018-10-01,Q4,Golden Jubilee,Elective Inpatients,C1,General Surgery,73,88,1.20547945205479,75,89,1.18666666666667
2019-01-01,Q1,Golden Jubilee,Elective Inpatients,C1,General Surgery,42,42,1,42,42,1
2019-04-01,Q2,Golden Jubilee,Elective Inpatients,C1,General Surgery,30,32,1.06666666666667,30,39,1.3
2019-07-01,Q3,Golden Jubilee,Elective Inpatients,C1,General Surgery,33,35,1.06060606060606,33,35,1.06060606060606
2019-10-01,Q4,Golden Jubilee,Elective Inpatients,C1,General Surgery,38,39,1.02631578947368,40,43,1.075
2020-01-01,Q1,Golden Jubilee,Elective Inpatients,C1,General Surgery,45,51,1.13333333333333,45,57,1.26666666666667
2020-04-01,Q2,Golden Jubilee,Elective Inpatients,C1,General Surgery,20,30,1.5,19,107,5.63157894736842
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,C1,General Surgery,30,31,1.03333333333333,30,135,4.5
2020-10-01,Q4,Golden Jubilee,Elective Inpatients,C1,General Surgery,30,27,0.9,31,66,2.12903225806452
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,C1,General Surgery,51,71,1.3921568627451,50,153,3.06
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,C1,General Surgery,29,31,1.06896551724138,29,31,1.06896551724138
2016-04-01,Q2,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,581,1025,1.76419965576592,585,4391,7.50598290598291
2016-07-01,Q3,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,569,925,1.62565905096661,576,4045,7.02256944444444
2016-10-01,Q4,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,504,887,1.75992063492063,538,4284,7.96282527881041
2017-01-01,Q1,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,594,934,1.57239057239057,572,4020,7.02797202797203
2017-04-01,Q2,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,505,801,1.58613861386139,533,3966,7.44090056285178
2017-07-01,Q3,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,548,930,1.6970802919708,576,3954,6.86458333333333
2017-10-01,Q4,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,596,984,1.6510067114094,620,4505,7.26612903225806
2018-01-01,Q1,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,602,1083,1.79900332225914,565,4300,7.61061946902655
2018-04-01,Q2,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,610,1161,1.90327868852459,600,4423,7.37166666666667
2018-07-01,Q3,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,605,946,1.56363636363636,612,4227,6.90686274509804
2018-10-01,Q4,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,565,1011,1.78938053097345,583,4087,7.01029159519726
2019-01-01,Q1,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,573,985,1.71902268760908,558,3939,7.05913978494624
2019-04-01,Q2,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,590,1041,1.76440677966102,595,4238,7.12268907563025
2019-07-01,Q3,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,622,1087,1.7475884244373,631,4629,7.33597464342314
2019-10-01,Q4,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,591,953,1.61252115059222,629,4830,7.67885532591415
2020-01-01,Q1,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,562,727,1.29359430604982,557,4251,7.63195691202873
2020-04-01,Q2,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,376,542,1.44148936170213,361,2489,6.89473684210526
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,471,881,1.8704883227176199,481,3748,7.79209979209979
2020-10-01,Q4,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,463,1003,2.16630669546436,478,3662,7.66108786610879
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,441,841,1.90702947845805,417,3388,8.12470023980815
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,C4,Cardiothoracic Surgery,508,994,1.95669291338583,505,3902,7.72673267326733
2020-04-01,Q2,Golden Jubilee,Elective Inpatients,C5,"Ear, Nose & Throat (ENT)",54,94,1.74074074074074,55,260,4.72727272727273
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,C5,"Ear, Nose & Throat (ENT)",59,96,1.6271186440678,55,138,2.50909090909091
2020-10-01,Q4,Golden Jubilee,Elective Inpatients,C5,"Ear, Nose & Throat (ENT)",50,62,1.24,51,131,2.56862745098039
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,C5,"Ear, Nose & Throat (ENT)",39,70,1.7948717948718,37,140,3.78378378378378
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,C5,"Ear, Nose & Throat (ENT)",38,61,1.60526315789474,40,124,3.1
2018-07-01,Q3,Golden Jubilee,Elective Inpatients,C7,Ophthalmology,0,0,NA,5,0,0
2016-04-01,Q2,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1069,3889,3.63797942001871,1070,4063,3.79719626168224
2016-07-01,Q3,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1063,4074,3.83254938852305,1063,4269,4.01599247412982
2016-10-01,Q4,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,981,3621,3.69113149847095,978,3817,3.90286298568507
2017-01-01,Q1,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1011,3442,3.40454995054402,1014,3731,3.67948717948718
2017-04-01,Q2,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1011,3153,3.1186943620178,1009,3292,3.26263627353816
2017-07-01,Q3,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1008,3316,3.28968253968254,1007,3478,3.45382323733863
2017-10-01,Q4,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1054,3527,3.34629981024668,1053,3770,3.58024691358025
2018-01-01,Q1,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1019,3146,3.0873405299313,1021,3504,3.43192948090108
2018-04-01,Q2,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1047,3309,3.16045845272206,1042,3436,3.29750479846449
2018-07-01,Q3,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1139,3341,2.9332748024583,1140,3519,3.08684210526316
2018-10-01,Q4,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1180,3112,2.63728813559322,1180,3194,2.70677966101695
2019-01-01,Q1,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,1146,2718,2.3717277486911,1146,2757,2.40575916230366
2019-04-01,Q2,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,983,2673,2.71922685656155,981,2689,2.74108053007136
2019-07-01,Q3,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,928,2743,2.95581896551724,929,2959,3.18514531754575
2019-10-01,Q4,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,937,2700,2.88153681963714,934,2768,2.96359743040685
2020-01-01,Q1,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,864,2354,2.72453703703704,866,2411,2.78406466512702
2020-04-01,Q2,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,33,359,10.8787878787879,31,551,17.7741935483871
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,360,2779,7.71944444444444,364,2929,8.0467032967033
2020-10-01,Q4,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,846,2217,2.62056737588652,843,2369,2.81020166073547
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,863,2705,3.13441483198146,858,2891,3.36946386946387
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,C8,Trauma and Orthopaedic Surgery,872,2680,3.07339449541284,871,2947,3.38346727898967
2016-04-01,Q2,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,13,13,1,13,13,1
2016-07-01,Q3,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,10,10,1,10,10,1
2016-10-01,Q4,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,12,12,1,12,12,1
2017-01-01,Q1,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,10,23,2.3,11,23,2.09090909090909
2017-04-01,Q2,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,10,10,1,10,9,0.9
2017-07-01,Q3,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,10,11,1.1,10,11,1.1
2017-10-01,Q4,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,10,10,1,10,10,1
2018-01-01,Q1,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,12,12,1,12,12,1
2018-04-01,Q2,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,10,10,1,10,9,0.9
2018-07-01,Q3,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,5,5,1,5,5,1
2018-10-01,Q4,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,5,0,0,5,0,0
2019-04-01,Q2,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,0,0,NA,0,0,NA
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,5,8,1.6,5,8,1.6
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,5,5,1,5,16,3.2
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,C9,Plastic Surgery,5,6,1.2,5,6,1.2
2018-01-01,Q1,Golden Jubilee,Elective Inpatients,CB,Urology,0,0,NA,0,0,NA
2019-04-01,Q2,Golden Jubilee,Elective Inpatients,CB,Urology,0,0,NA,0,0,NA
2020-04-01,Q2,Golden Jubilee,Elective Inpatients,CB,Urology,25,69,2.76,21,78,3.71428571428571
2020-07-01,Q3,Golden Jubilee,Elective Inpatients,CB,Urology,18,35,1.94444444444444,19,151,7.94736842105263
2020-10-01,Q4,Golden Jubilee,Elective Inpatients,CB,Urology,29,90,3.10344827586207,29,241,8.31034482758621
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,CB,Urology,25,54,2.16,20,120,6
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,CB,Urology,10,23,2.3,15,146,9.73333333333333
2021-01-01,Q1,Golden Jubilee,Elective Inpatients,H1,Clinical Radiology,11,27,2.45454545454545,11,27,2.45454545454545
2021-04-01,Q2,Golden Jubilee,Elective Inpatients,H1,Clinical Radiology,20,45,2.25,20,48,2.4
2016-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,82,410,5,103,553,5.36893203883495
2016-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,67,234,3.49253731343284,96,561,5.84375
2016-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,46,133,2.89130434782609,70,276,3.94285714285714
2017-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,66,183,2.77272727272727,94,306,3.25531914893617
2017-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,64,358,5.59375,96,631,6.57291666666667
2017-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,62,237,3.82258064516129,95,505,5.31578947368421
2017-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,74,291,3.93243243243243,117,620,5.2991452991453
2018-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,61,247,4.04918032786885,101,421,4.16831683168317
2018-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,71,379,5.33802816901408,130,653,5.02307692307692
2018-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,50,173,3.46,92,317,3.44565217391304
2018-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,59,178,3.01694915254237,104,354,3.40384615384615
2019-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,59,155,2.6271186440678,85,293,3.44705882352941
2019-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,55,216,3.92727272727273,95,426,4.48421052631579
2019-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,55,245,4.45454545454545,80,371,4.6375
2019-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,39,177,4.53846153846154,76,482,6.3421052631579
2020-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,25,88,3.52,54,402,7.44444444444444
2020-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,18,44,2.44444444444444,33,113,3.42424242424242
2020-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,35,163,4.65714285714286,55,299,5.43636363636364
2020-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,20,49,2.45,52,288,5.53846153846154
2021-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,12,41,3.41666666666667,45,285,6.33333333333333
2021-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A1,General Medicine,18,89,4.94444444444444,62,272,4.38709677419355
2016-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,35,43,1.22857142857143,47,124,2.63829787234043
2016-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,40,54,1.35,58,182,3.13793103448276
2016-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,35,48,1.37142857142857,45,79,1.75555555555556
2017-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,35,59,1.68571428571429,55,113,2.05454545454545
2017-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,47,59,1.25531914893617,65,127,1.95384615384615
2017-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,33,34,1.03030303030303,50,70,1.4
2017-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,35,54,1.54285714285714,45,75,1.66666666666667
2018-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,30,28,0.933333333333333,40,64,1.6
2018-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,31,29,0.935483870967742,40,43,1.075
2018-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,23,40,1.73913043478261,35,60,1.71428571428571
2018-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,34,54,1.58823529411765,40,69,1.725
2019-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,37,46,1.24324324324324,48,86,1.79166666666667
2019-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,28,42,1.5,35,84,2.4
2019-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,38,57,1.5,45,78,1.73333333333333
2019-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,28,42,1.5,40,123,3.075
2020-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,50,87,1.74,55,94,1.70909090909091
2020-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,19,38,2,20,55,2.75
2020-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,18,34,1.88888888888889,30,73,2.43333333333333
2020-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,30,42,1.4,35,59,1.68571428571429
2021-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,32,27,0.84375,36,30,0.833333333333333
2021-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A2,Cardiology,23,30,1.30434782608696,35,38,1.08571428571429
2017-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A6,Infectious Diseases,0,0,NA,0,0,NA
2019-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A6,Infectious Diseases,0,0,NA,0,0,NA
2016-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,66,13.2,5,66,13.2
2016-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,10,148,14.8,10,148,14.8
2016-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,65,13,5,66,13.2
2017-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,0,38,NA,0,38,NA
2017-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,55,11,5,55,11
2017-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,80,16,5,82,16.4
2017-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,55,11,5,57,11.4
2018-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,96,19.2,5,96,19.2
2018-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,40,8,5,40,8
2018-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,35,7,5,34,6.8
2019-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,0,11,NA,0,11,NA
2019-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,5,41,8.2,5,41,8.2
2019-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,0,15,NA,0,15,NA
2019-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A7,Dermatology,0,18,NA,0,18,NA
2016-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,0,NA,0,0,NA
2016-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,0,NA,0,0,NA
2017-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,0,NA,0,40,NA
2018-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,5,10,2,5,10,2
2018-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,0,NA,0,0,NA
2018-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,5,NA,0,5,NA
2018-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,0,NA,0,0,NA
2019-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,0,NA,0,0,NA
2019-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A8,Endocrinology & Diabetes,0,0,NA,0,0,NA
2016-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A9,Gastroenterology,0,5,NA,0,5,NA
2016-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A9,Gastroenterology,0,0,NA,0,0,NA
2016-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A9,Gastroenterology,0,9,NA,0,9,NA
2017-01-01,Q1,Ayrshire & Arran,Elective Inpatients,A9,Gastroenterology,5,5,1,5,5,1
2017-04-01,Q2,Ayrshire & Arran,Elective Inpatients,A9,Gastroenterology,0,26,NA,5,27,5.4
2017-07-01,Q3,Ayrshire & Arran,Elective Inpatients,A9,Gastroenterology,0,5,NA,0,7,NA
2019-10-01,Q4,Ayrshire & Arran,Elective Inpatients,A9,Gastroenterology,0,0,NA,0,0,NA
2016-04-01,Q2,Ayrshire & Arran,Elective Inpatients,AB,Geriatric Medicine,0,5,NA,5,42,8.4
2016-10-01,Q4,Ayrshire & Arran,Elective Inpatients,AB,Geriatric Medicine,5,12,2.4,5,41,8.2
2017-07-01,Q3,Ayrshire & Arran,Elective Inpatients,AB,Geriatric Medicine,0,16,NA,5,28,5.6
2017-10-01,Q4,Ayrshire & Arran,Elective Inpatients,AB,Geriatric Medicine,0,0,NA,10,303,30.3
2018-01-01,Q1,Ayrshire & Arran,Elective Inpatients,AB,Geriatric Medicine,0,0,NA,5,18,3.6
