_id,Month,Country,HBT,TreatmentLocation,DepartmentType,NumberOfAttendancesAggregate,NumberOfAttendancesEpisode,NumberOfAttendancesEpisodeQF,NumberMeetingTargetAggregate,NumberMeetingTargetEpisode,NumberMeetingTargetEpisodeQF,DischargeDestinationAdmissionToSame,DischargeDestinationAdmissionToSameQF,DischargeDestinationOtherSpecialty,DischargeDestinationOtherSpecialtyQF,DischargeDestinationResidence,DischargeDestinationResidenceQF,DischargeDestinationTransfer,DischargeDestinationTransferQF,DischargeDestinationUnknown,DischargeDestinationUnknownQF,AttendanceGreater8hrs,AttendanceGreater8hrsQF,AttendanceGreater12hrs,AttendanceGreater12hrsQF
1,200707,S92000003,S08000015,A101H,Minor Injury Unit or Other,252,,z,252,,z,,z,,z,,z,,z,,z,,z,,z
2,200707,S92000003,S08000015,A111H,Emergency Department,5414,5414,"",5290,5290,"",1985,"",11,"",3374,"",44,"",0,"",26,"",24,""
3,200707,S92000003,S08000015,A207H,Minor Injury Unit or Other,92,,z,92,,z,,z,,z,,z,,z,,z,,z,,z
4,200707,S92000003,S08000015,A210H,Emergency Department,3530,3530,"",3355,3355,"",106,"",0,"",3369,"",8,"",47,"",3,"",1,""
5,200707,S92000003,S08000016,B103H,Minor Injury Unit or Other,20,,z,20,,z,,z,,z,,z,,z,,z,,z,,z
6,200707,S92000003,S08000016,B105H,Minor Injury Unit or Other,105,,z,105,,z,,z,,z,,z,,z,,z,,z,,z
7,200707,S92000003,S08000016,B114H,Minor Injury Unit or Other,31,,z,31,,z,,z,,z,,z,,z,,z,,z,,z
8,200707,S92000003,S08000016,B118H,Minor Injury Unit or Other,87,,z,87,,z,,z,,z,,z,,z,,z,,z,,z
9,200707,S92000003,S08000016,B120H,Emergency Department,1823,1823,"",1804,1804,"",571,"",1,"",1033,"",27,"",191,"",0,"",0,""
10,200707,S92000003,S08000017,Y101H,Minor Injury Unit or Other,86,,z,86,,z,,z,,z,,z,,z,,z,,z,,z
11,200707,S92000003,S08000017,Y106H,Minor Injury Unit or Other,83,,z,83,,z,,z,,z,,z,,z,,z,,z,,z
12,200707,S92000003,S08000017,Y109H,Minor Injury Unit or Other,7,,z,7,,z,,z,,z,,z,,z,,z,,z,,z
13,200707,S92000003,S08000017,Y110H,Minor Injury Unit or Other,85,,z,85,,z,,z,,z,,z,,z,,z,,z,,z
14,200707,S92000003,S08000017,Y144H,Emergency Department,1189,,z,1167,,z,,z,,z,,z,,z,,z,,z,,z
15,200707,S92000003,S08000017,Y146H,Emergency Department,2970,2970,"",2862,2862,"",900,"",5,"",1984,"",19,"",62,"",0,"",0,""
16,200707,S92000003,S08000029,F704H,Emergency Department,3912,3912,"",3703,3703,"",677,"",53,"",3051,"",33,"",98,"",6,"",1,""
17,200707,S92000003,S08000029,F708H,Minor Injury Unit or Other,174,,z,174,,z,,z,,z,,z,,z,,z,,z,,z
18,200707,S92000003,S08000029,F709H,Minor Injury Unit or Other,282,,z,282,,z,,z,,z,,z,,z,,z,,z,,z
19,200707,S92000003,S08000029,F805H,Emergency Department,3638,3638,"",3570,3570,"",762,"",152,"",2655,"",38,"",31,"",2,"",0,""
20,200707,S92000003,S08000019,V102H,Minor Injury Unit or Other,1772,1772,"",1768,1768,"",0,"",0,"",1283,"",199,"",290,"",0,"",0,""
21,200707,S92000003,S08000019,V201H,Emergency Department,4195,4195,"",4003,4003,"",1133,"",14,"",2421,"",34,"",593,"",5,"",1,""
22,200707,S92000003,S08000020,N101H,Emergency Department,5312,5312,"",5168,5168,"",1236,"",29,"",3918,"",97,"",32,"",8,"",0,""
23,200707,S92000003,S08000020,N121H,Emergency Department,1333,1333,"",1324,1324,"",335,"",0,"",997,"",1,"",0,"",0,"",0,""
24,200707,S92000003,S08000020,N151H,Minor Injury Unit or Other,72,,z,72,,z,,z,,z,,z,,z,,z,,z,,z
25,200707,S92000003,S08000020,N331H,Minor Injury Unit or Other,40,,z,40,,z,,z,,z,,z,,z,,z,,z,,z
26,200707,S92000003,S08000020,N332H,Minor Injury Unit or Other,62,,z,62,,z,,z,,z,,z,,z,,z,,z,,z
27,200707,S92000003,S08000020,N333H,Minor Injury Unit or Other,1114,,z,1113,,z,,z,,z,,z,,z,,z,,z,,z
28,200707,S92000003,S08000020,N334H,Minor Injury Unit or Other,904,,z,898,,z,,z,,z,,z,,z,,z,,z,,z
29,200707,S92000003,S08000020,N335H,Minor Injury Unit or Other,279,,z,277,,z,,z,,z,,z,,z,,z,,z,,z
30,200707,S92000003,S08000020,N336H,Minor Injury Unit or Other,178,,z,178,,z,,z,,z,,z,,z,,z,,z,,z
31,200707,S92000003,S08000020,N337H,Minor Injury Unit or Other,359,,z,359,,z,,z,,z,,z,,z,,z,,z,,z
32,200707,S92000003,S08000020,N411H,Emergency Department,1925,1925,"",1850,1850,"",465,"",3,"",1409,"",22,"",26,"",1,"",1,""
33,200707,S92000003,S08000020,N431H,Minor Injury Unit or Other,107,,z,107,,z,,z,,z,,z,,z,,z,,z,,z
34,200707,S92000003,S08000020,N432H,Minor Injury Unit or Other,37,,z,37,,z,,z,,z,,z,,z,,z,,z,,z
35,200707,S92000003,S08000020,N433H,Minor Injury Unit or Other,113,,z,113,,z,,z,,z,,z,,z,,z,,z,,z
36,200707,S92000003,S08000020,N434H,Minor Injury Unit or Other,62,,z,62,,z,,z,,z,,z,,z,,z,,z,,z
37,200707,S92000003,S08000020,N451H,Minor Injury Unit or Other,32,,z,32,,z,,z,,z,,z,,z,,z,,z,,z
38,200707,S92000003,S08000020,N494H,Minor Injury Unit or Other,153,153,"",153,153,"",0,"",0,"",130,"",23,"",0,"",0,"",0,""
39,200707,S92000003,S08000031,C206H,Minor Injury Unit or Other,1382,1382,"",1354,1354,"",348,"",3,"",963,"",65,"",3,"",1,"",1,""
40,200707,S92000003,S08000031,C313H,Emergency Department,2693,2693,"",2648,2648,"",550,"",6,"",1973,"",34,"",130,"",1,"",0,""
41,200707,S92000003,S08000031,C418H,Emergency Department,5479,5479,"",5324,5324,"",1473,"",9,"",3624,"",58,"",315,"",4,"",0,""
42,200707,S92000003,S08000031,G107H,Emergency Department,6200,6200,"",5951,5951,"",1697,"",16,"",4054,"",115,"",318,"",6,"",2,""
43,200707,S92000003,S08000031,G207H,Emergency Department,3390,3390,"",3264,3264,"",1014,"",2,"",2203,"",30,"",141,"",1,"",0,""
44,200707,S92000003,S08000031,G306H,Emergency Department,5864,5864,"",5744,5744,"",1583,"",14,"",4043,"",137,"",87,"",1,"",0,""
45,200707,S92000003,S08000031,G405H,Emergency Department,4186,4186,"",3952,3952,"",1094,"",11,"",2927,"",38,"",116,"",4,"",0,""
46,200707,S92000003,S08000031,G513H,Emergency Department,2981,2981,"",2942,2942,"",524,"",3,"",2438,"",5,"",11,"",1,"",0,""
47,200707,S92000003,S08000031,G516H,Emergency Department,5040,5040,"",4529,4529,"",1607,"",19,"",2917,"",116,"",381,"",40,"",6,""
48,200707,S92000003,S08000022,C103B,Minor Injury Unit or Other,401,,z,401,,z,,z,,z,,z,,z,,z,,z,,z
49,200707,S92000003,S08000022,C106H,Minor Injury Unit or Other,615,,z,612,,z,,z,,z,,z,,z,,z,,z,,z
